filename,note_info,temperature,A,A_error,f,f_error,phi,phi_error,offset,offset_error,Nup_mean,Nup_error,Ndown_mean,Ndown_error
scan_110226.txt,PCC1A,2.6 K,244.1600622569859,17.056218116668614,-7.9131756491859315,0.26293288490718014,0.0018301642652538937,0.06786228627554869,646.58399180043,11.724296025489124,419.0,20.46948949045872,911.0,30.18277654557314
scan_110238.txt,PCC3A,2.6 K,319.36264272747013,14.580315589086126,8.524444676301197,0.16833323089078406,0.14503289543597805,0.04385669639731356,654.0643847745205,10.199503101549062,261.5,16.170961628796228,911.0,30.18277654557314
scan_110250.txt,PCC5A,2.6 K,275.2398890669751,13.756279561998952,-8.083300000834456,0.2538957308124743,1.154161319216713,0.050389849053392395,611.7569836644291,11.35381912157312,265.0,16.278820596099706,967.6666666666666,31.107341041411217
scan_110262.txt,PCC7.5A,2.6 K,285.42604604920024,14.916124158695629,-8.281445188884078,0.22157865840680133,-0.3233558957854926,0.05377246974983519,651.3697550203851,11.108181486633809,249.0,15.7797338380595,974.0,31.20897306865447
scan_110274.txt,PCC10A,2.6 K,290.2888957711839,8.398876367470546,-8.169217179714162,0.09904679030587248,0.4401270139989231,0.026136546171386065,633.8443876371839,5.582005482086624,227.5,15.083103128998356,971.6666666666666,31.1715682420161
scan_110286.txt,PCC15A,2.6 K,287.17123319743814,13.269811992241465,8.45030201091681,0.21347241548730864,0.4565243287223097,0.04883735418125216,648.465025190507,10.310243111004997,249.0,15.7797338380595,992.3333333333334,31.50132272355136
scan_110298.txt,PCC20A,2.6 K,263.7030010733555,21.517388729400995,8.117144742145019,0.28713629473263563,-0.1084520027280456,0.0760988555758365,633.281026549898,14.454223861077576,230.5,15.182226450688976,937.0,30.610455730027933
scan_110310.txt,PCC30A,2.6 K,266.0132276428921,11.348075367181467,8.22059168257247,0.3384859602408807,0.9417827160319714,0.05044589363048764,632.8950689235666,12.350911374171822,236.5,15.378556499229699,856.0,29.257477676655586
scan_110322.txt,PCC40A,2.6 K,275.0419714209325,17.39505420625162,9.108892905571622,0.4541020841831614,1.0429361650169042,0.07345589388193094,636.4285687625272,16.03217980284718,214.0,14.628738838327793,762.3333333333334,27.610384519838426
scan_110334.txt,PCC50A,2.6 K,279.54351564050376,22.552900227306655,-8.286181867858563,0.27683934336377464,0.11039253371049149,0.07434309222579026,638.1874690262061,15.11809357020888,222.0,14.89966442575134,385.6666666666667,19.638397762207248
scan_110346.txt,PCC60A,2.6 K,236.61559320665677,24.83114084239566,-8.296120265263134,0.35001814955785004,0.32481024749839116,0.09437371388812546,626.9754739161475,16.42973837850095,220.5,14.849242404917497,661.6666666666666,25.72288216096063
scan_110358.txt,PCC80A,2.6 K,-205.06415816599818,11.830021356505004,-7.7671565303257735,0.3150287359743348,4.2933365821436045,0.05851962806276343,633.7038924114519,10.340990797675333,217.0,14.730919862656235,445.3333333333333,21.10292238845922
scan_110370.txt,PCC90A,2.6 K,138.3003270793959,12.126893920454245,-8.126505241298172,0.30200050355758856,0.4312739635046747,0.07940320814701346,636.3419804362055,8.060157250302051,227.5,15.083103128998356,448.6666666666667,21.18175315375634
